id;host_id;host_name;neighbourhood_cleansed;property_type;price;availability_365;number_of_reviews;review_scores_rating
32648766;22389278;Francisco;Pollença;Entire home;216;0;90;4,83
32652217;131263465;Spain Rentals;Palma de Mallorca;Entire townhouse;181;204;48;4,67
32652984;6218266;David;Sant Llorenç des Cardassar;Entire home;180;354;0;4,825
32677170;245708611;YourHouse;Maria de la Salut;Entire villa;192;360;25;4,52
32677397;245708611;YourHouse;Santa Margalida;Entire home;86;210;14;4,5
32678598;80839530;Homerti;Santa Margalida;Entire villa;177;356;0;4,54368580060423
32679326;245708611;YourHouse;Lloseta;Entire villa;140;276;83;4,89
32680379;80636743;Foravila;Pollença;Entire rental unit;122;241;10;4,2
32976897;243425948;Sebastiana;Esporles;Entire villa;440;327;70;4,87
32980755;80839530;Homerti;Llucmajor;Entire villa;431;223;22;4,36
32980766;80839530;Homerti;Alcúdia;Entire rental unit;212;246;13;4,62
32980769;80839530;Homerti;Llucmajor;Entire home;173;150;30;4,77
32980771;80839530;Homerti;Alcúdia;Entire rental unit;260;288;35;4,6
32911115;205499549;Holidu;Pollença;Entire villa;187;364;2;4,5
32911568;205499549;Holidu;Felanitx;Entire rental unit;95;364;31;4,77
32911726;205499549;Holidu;Felanitx;Entire rental unit;95;364;9;4,44
32911757;205499549;Holidu;Felanitx;Entire rental unit;95;364;27;4,63
32911793;205499549;Holidu;Felanitx;Entire rental unit;128;364;6;4,67
32912203;205499549;Holidu;Felanitx;Entire rental unit;95;364;7;4,29
32912461;156144596;Mallorca Villa Selection;Santa Margalida;Entire home;110;44;6;4,33
32927936;65697804;Ideal Property Mallorca;Artà;Entire home;167;365;0;4,608871794871795
32216355;38208634;Sebastian;Selva;Entire rental unit;35;273;156;4,44
32228811;241834567;Christine;Manacor;Entire villa;215;350;6;5
32230233;156144596;Mallorca Villa Selection;Alcúdia;Entire rental unit;131;328;9;4,22
32232202;80636743;Foravila;Santa Margalida;Entire home;86;316;30;4,73
32234065;241874591;Finca;Inca;Entire home;424;16;30;4,7
32234343;80839530;Homerti;Santa Margalida;Entire rental unit;187;123;7;4,29
32931585;233823262;Olga;Alcúdia;Entire condo;72;107;26;4,77
32931909;65949984;Bauló Mar;Santa Margalida;Entire condo;214;219;80;4,71
32936474;129822323;Thorsten;Santanyí;Entire home;185;127;24;4,88
32936800;247826134;Joan;Alcúdia;Entire home;150;254;87;4,91
32951224;43599401;Maria Antonia;Sant Llorenç des Cardassar;Entire cottage;410;257;12;5
32959597;248037095;Tomeu;Andratx;Entire rental unit;87;147;79;4,81
32959639;248037095;Tomeu;Andratx;Entire rental unit;87;206;53;4,62
32959664;248037095;Tomeu;Andratx;Entire rental unit;94;140;93;4,88
